['bmh', 'classic', 'dark_background', 'fast', 'fivethirtyeight', 'ggplot', 'grayscale', 'seaborn-bright', 'seaborn-colorblind', 'seaborn-dark-palette', 'seaborn-dark', 'seaborn-darkgrid', 'seaborn-deep', 'seaborn-muted', 'seaborn-notebook', 'seaborn-paper', 'seaborn-pastel', 'seaborn-poster', 'seaborn-talk', 'seaborn-ticks', 'seaborn-white', 'seaborn-whitegrid', 'seaborn', 'Solarize_Light2', '_classic_test']
         828034 function calls (814815 primitive calls) in 2.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:102(release)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
      360    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:146(__enter__)
      360    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:153(__exit__)
      574    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      359    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
    463/5    0.000    0.000    0.477    0.095 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     3662    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      345    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(__exit__)
     1380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
      628    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:389(cached)
      613    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:402(parent)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
      345    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      345    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      359    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:57(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
    349/5    0.001    0.000    0.478    0.096 <frozen importlib._bootstrap>:641(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:664(_load)
      356    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:698(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:727(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:744(is_package)
      574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:77(acquire)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
     1044    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
     1044    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(_find_spec_legacy)
      356    0.002    0.000    0.104    0.000 <frozen importlib._bootstrap>:861(_find_spec)
    359/4    0.001    0.000    0.481    0.120 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    359/4    0.002    0.000    0.481    0.120 <frozen importlib._bootstrap>:958(_find_and_load)
3103/2214    0.003    0.000    0.220    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       33    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      857    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
  339/338    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      338    0.000    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      326    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      691    0.006    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       33    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1359(_get_supported_file_loaders)
      602    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      327    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      691    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      301    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      301    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      602    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     3402    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     3402    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      603    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
    301/5    0.001    0.000    0.478    0.096 <frozen importlib._bootstrap_external>:672(exec_module)
      301    0.002    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     1423    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      301    0.039    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      301    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      431    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       26    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:919(create_module)
